User ID,Instrument,Amount,Lots,Action,Open Time (UK - GMT/BST),Open Rate
146803,XAUUSD,1,0.01,BUY,2025-05-19 16:07:51,3235
146803,XAUUSD,1,0.01,BUY,2025-05-19 16:09:33,3235
155137,XAUUSD,3,0.03,BUY,2025-05-19 16:10:56,3234.34
155153,XAUUSD,1,0.01,BUY,2025-05-19 16:13:06,3236.21
153524,XAUUSD,5,0.05,SELL,2025-05-19 16:17:08,3233.24
153524,XAUUSD,5,0.05,SELL,2025-05-19 16:17:36,3232.75
154077,XAUUSD,5,0.05,BUY,2025-05-19 16:22:12,3233.02
155856,XAUUSD,10,0.1,SELL,2025-05-19 16:23:42,3234
154077,XAUUSD,5,0.05,BUY,2025-05-19 16:28:30,3235.5
155856,XAUUSD,10,0.1,BUY,2025-05-19 16:44:09,3231.53
155856,XAUUSD,10,0.1,SELL,2025-05-19 16:47:08,3234.53
156150,XAUUSD,1,0.01,BUY,2025-05-19 16:51:46,3239.96
156150,XAUUSD,1,0.01,SELL,2025-05-19 17:00:03,3231.65
149014,XAUUSD,1,0.01,BUY,2025-05-19 17:03:04,3231
155948,XAUUSD,1,0.01,SELL,2025-05-19 17:05:25,3230.17
154138,XAUUSD,1,0.01,SELL,2025-05-19 17:10:38,3229.62
156085,XAUUSD,1,0.01,SELL,2025-05-19 17:11:40,3229.43
154077,XAUUSD,1,0.01,BUY,2025-05-19 17:12:13,3230.51
154077,XAUUSD,1,0.01,BUY,2025-05-19 17:19:33,3229.5
154598,XAUUSD,1,0.01,BUY,2025-05-19 17:44:42,3233.16
154598,XAUUSD,1,0.01,BUY,2025-05-19 17:55:23,3232.69
153295,XAUUSD,1,0.01,BUY,2025-05-19 18:11:08,3228.47
129107,XAUUSD,2,0.02,SELL,2025-05-19 18:14:03,3229
155853,XAUUSD,1,0.01,BUY,2025-05-19 18:22:21,3228.5
154138,XAUUSD,1,0.01,BUY,2025-05-19 18:23:08,3229.48
129107,XAUUSD,2,0.02,SELL,2025-05-19 18:32:04,3233
154956,XAUUSD,5,0.05,BUY,2025-05-19 18:41:46,3228.69
153524,XAUUSD,2,0.02,SELL,2025-05-19 18:47:31,3227.88
154138,XAUUSD,1,0.01,BUY,2025-05-19 19:26:02,3232.01
151112,XAUUSD,1,0.01,BUY,2025-05-19 19:36:57,3235.09
156244,XAUUSD,1,0.01,BUY,2025-05-19 20:11:15,3234.88
156216,XAUUSD,1,0.01,BUY,2025-05-19 23:51:27,3225
156216,XAUUSD,1,0.01,BUY,2025-05-20 00:22:42,3224.29
156216,XAUUSD,1,0.01,SELL,2025-05-20 00:38:22,3219.95
155184,XAUUSD,1,0.01,SELL,2025-05-20 01:03:36,3222.36
156095,XAUUSD,2,0.02,BUY,2025-05-20 02:03:52,3226.99
156177,XAUUSD,3,0.03,BUY,2025-05-20 02:05:46,3229.57
156177,XAUUSD,3,0.03,BUY,2025-05-20 02:23:18,3226.81
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:47:32,3226.55
139375,XAUUSD,1,0.01,BUY,2025-05-20 02:48:50,3227.34
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:51:38,3225.63
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:52:11,3225.36
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:54:51,3223.81
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:55:36,3223.06
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:55:53,3222.7
147989,XAUUSD,1,0.01,BUY,2025-05-20 02:56:09,3222.73
155948,XAUUSD,1,0.01,BUY,2025-05-20 03:03:26,3221.58
155948,XAUUSD,1,0.01,BUY,2025-05-20 03:04:20,3222.31
156095,XAUUSD,1,0.01,BUY,2025-05-20 03:06:49,3220.56
156095,XAUUSD,2,0.02,BUY,2025-05-20 03:12:11,3216.87
154077,XAUUSD,1,0.01,BUY,2025-05-20 03:12:18,3217.06
154077,XAUUSD,1,0.01,BUY,2025-05-20 03:13:11,3215.05
156095,XAUUSD,1,0.01,BUY,2025-05-20 03:16:35,3214.85
153823,XAUUSD,10,0.1,BUY,2025-05-20 03:19:56,3212
156095,XAUUSD,2,0.02,SELL,2025-05-20 03:23:02,3214.65
151112,XAUUSD,1,0.01,SELL,2025-05-20 03:24:27,3213.18
155948,XAUUSD,1,0.01,BUY,2025-05-20 03:39:03,3211.68
152617,XAUUSD,5,0.05,SELL,2025-05-20 03:41:13,3209.39
152617,XAUUSD,7,0.07,SELL,2025-05-20 03:43:00,3208.23
152617,XAUUSD,7,0.07,BUY,2025-05-20 03:51:05,3212.35
149014,XAUUSD,1,0.01,SELL,2025-05-20 03:54:21,3210.47
149014,XAUUSD,1,0.01,SELL,2025-05-20 03:59:20,3207.27
153566,XAUUSD,2,0.02,SELL,2025-05-20 04:00:01,3205.12
149014,XAUUSD,1,0.01,SELL,2025-05-20 04:00:18,3205.57
139377,XAUUSD,2,0.02,BUY,2025-05-20 04:01:09,3205
149014,XAUUSD,1,0.01,BUY,2025-05-20 04:04:54,3207.99
156095,XAUUSD,1,0.01,BUY,2025-05-20 04:07:58,3210.36
149014,XAUUSD,1,0.01,SELL,2025-05-20 04:09:05,3210.6
149014,XAUUSD,1,0.01,BUY,2025-05-20 04:20:49,3213.77
154077,XAUUSD,5,0.05,BUY,2025-05-20 04:22:46,3214.5
149014,XAUUSD,1,0.01,SELL,2025-05-20 04:37:38,3207.39
153295,XAUUSD,1,0.01,BUY,2025-05-20 05:00:19,3212.22
156071,XAUUSD,1,0.01,SELL,2025-05-20 05:06:03,3213
154598,XAUUSD,1,0.01,BUY,2025-05-20 05:19:43,3213.72
154598,XAUUSD,1,0.01,BUY,2025-05-20 05:26:27,3214.48
121373,XAUUSD,2,0.02,BUY,2025-05-20 05:31:23,3212.46
154598,XAUUSD,1,0.01,BUY,2025-05-20 05:34:17,3212.36
155184,XAUUSD,1,0.01,BUY,2025-05-20 05:51:33,3215.83
121367,XAUUSD,1,0.01,BUY,2025-05-20 06:04:11,3216.47
154598,XAUUSD,1,0.01,BUY,2025-05-20 06:05:09,3217.92
154598,XAUUSD,1,0.01,BUY,2025-05-20 06:05:16,3217.99
